GeoName,GeoFips_n,GDP_2018_n,rank,impact_4wk,impact_contribution,cases_4wk_growth,impact_4wk_normal,cases_4wk_growth_normal,county_name,lat,lng
"Los Angeles, CA",6037,710893266,1,226.9780642,0.085064978,0.508807601,0.584098917,0.162113503,Los Angeles,34.07392908,-118.1832525
"New York, NY",36061,600244287,2,386.7288192,0.144935057,0.072274143,1,0.083387279,New York,40.73885,-73.94555
"Cook, IL",17031,362063569,3,58.18878788,0.021807517,0.403364671,0.14466661,0.143097495,Cook,41.80477787,-87.80302295
"Harris, TX",48201,361353488,4,74.59368431,0.02795561,0.819317614,0.18737573,0.218112144,Harris,29.76675135,-95.26897297
"Santa Clara, CA",6085,316525538,5,138.4799229,0.05189837,1.296439296,0.35369955,0.304158214,Santa Clara,37.297725,-121.9448667
"King, WA",53033,277122158,6,76.10962125,0.02852374,0.770498235,0.191322377,0.209307859,King,47.51700164,-122.116182
"Dallas, TX",48113,241375801,7,48.53377713,0.018189091,0.944860697,0.119530395,0.240753096,Dallas,32.78038,-96.775068
"Orange, CA",6059,230145536,8,75.53705271,0.028309157,0.554622569,0.189831731,0.170375961,Orange,33.71036,-117.8361325
"Maricopa, AZ",4013,220789933,9,58.66703934,0.021986752,0.188224927,0.145911708,0.104298316,Maricopa,33.49415116,-112.2578558
"San Diego, CA",6073,219361505,10,68.47212692,0.025661422,0.594787879,0.171438639,0.177619537,San Diego,32.92603962,-116.9569604
"San Francisco, CA",6075,162541244,11,95.49298085,0.035788077,1.648114901,0.24178574,0.367580826,San Francisco,37.7562,-122.443
"Middlesex, MA",25017,157384459,12,38.39056625,0.014387702,0.244460329,0.09312318,0.114440038,Middlesex,42.46416944,-71.302975
"Fulton, GA",13121,152383941,13,38.74905928,0.014522055,1.462000522,0.094056495,0.334016201,Fulton,33.79322667,-84.45582667
"Miami-Dade, FL",12086,145882828,14,46.63040395,0.017475761,1.537169358,0.114575082,0.347572455,Miami-Dade,25.76412113,-80.29339718
"Alameda, CA",6001,130701879,15,52.56082706,0.019698316,0.588393157,0.130014567,0.176466286,Alameda,37.70301,-122.08729
"District of Columbia, DC",11001,123981627,16,60.35248486,0.02261841,0.55826087,0.15029966,0.171032107,District of Columbia,38.9047,-77.0163
"Hennepin, MN",27053,122552072,17,27.6179848,0.010350442,0.846466013,0.065077439,0.223008197,Hennepin,44.99341905,-93.49151905
"Suffolk, MA",25025,112691074,18,41.61520376,0.015596205,0.392276423,0.101518322,0.141097795,Suffolk,42.37725,-71.02635
"Philadelphia, PA",42101,110734916,19,27.01140987,0.010123115,0.248023715,0.06349826,0.115082673,Philadelphia,40.0077,-75.1339
"Tarrant, TX",48439,108786197,20,17.09497381,0.006406714,0.914736574,0.03768144,0.235320389,Tarrant,32.79498108,-97.29242973
"Clark, NV",32003,107622947,21,21.48615263,0.008052404,1.254311525,0.049113599,0.29656072,Clark,36.097568,-115.040964
"San Mateo, CA",6081,104986153,22,35.88276729,0.013447849,0.681742044,0.086594283,0.193301205,San Mateo,37.51103871,-122.3330645
"Travis, TX",48453,102486231,23,31.91714051,0.011961644,0.194562766,0.076270022,0.105441308,Travis,30.29911923,-97.80783077
"Oakland, MI",26125,100906866,24,15.2441444,0.005713075,1.071661238,0.032862921,0.263620822,Oakland,42.5832,-83.29618205
"Mecklenburg, NC",37119,97637010,25,20.85247571,0.00781492,0.104289434,0.04746386,0.089161047,Mecklenburg,35.27928571,-80.80904286
"Bexar, TX",48029,97527759,26,22.5358786,0.008445812,1.301660839,0.051846494,0.305099888,Bexar,29.49497742,-98.49005806
"Broward, FL",12011,96874849,27,27.43634116,0.010282367,1.62791204,0.064604542,0.36393736,Broward,26.15,-80.20463514
"Queens, NY",36081,93310007,28,24.32725183,0.009117168,-0.167847818,0.056510222,0.040082705,Queens,40.7498,-73.7976
"Kings, NY",36047,91559456,29,24.26325584,0.009093184,-0.070378964,0.056343613,0.057660636,Kings,40.6501,-73.9496
"Cuyahoga, OH",39035,88717686,30,12.23036671,0.004583597,0.717376134,0.02501674,0.199727602,Cuyahoga,41.43929474,-81.61597368
"Wayne, MI",26163,88005730,31,7.574778904,0.002838814,1.256681514,0.012896209,0.296988134,Wayne,42.28837647,-83.19419706
"Orange, FL",12095,87741273,32,30.61543704,0.011473803,0.2830473,0.072881119,0.12139897,Orange,28.52047347,-81.40932857
"Allegheny, PA",42003,86799511,33,21.04888142,0.007888527,2.014800515,0.04797519,0.433710405,Allegheny,40.44601429,-79.96897714
"Franklin, OH",39049,86497107,34,13.15991699,0.004931966,0.818568768,0.027436766,0.217977095,Franklin,39.97342143,-83.00022857
"Montgomery, MD",24031,86116398,35,21.49834364,0.008056973,0.098579783,0.049145337,0.088131345,Montgomery,39.06701607,-77.10318036
"Sacramento, CA",6067,85235147,36,24.23113465,0.009081146,1.186351706,0.056259987,0.284304569,Sacramento,38.51924857,-121.3586886
"San Bernardino, CA",6071,85114555,37,17.50927989,0.006561984,1.033100653,0.03876006,0.256666649,San Bernardino,34.32704902,-117.0252137
"Marion, IN",18097,82996653,38,8.62572358,0.003232678,1.194501718,0.015632277,0.285774376,Marion,39.80585,-86.14013125
"DuPage, IL",17043,82596221,39,11.15048984,0.004178889,0.80334728,0.022205348,0.215231989,DuPage,41.86408,-88.04488667
"Suffolk, NY",36103,81211899,40,10.76057662,0.004032761,0.297029703,0.021190233,0.123920613,Suffolk,40.86471032,-72.9265929
"Nassau, NY",36059,81196003,41,14.81827055,0.00555347,0.145519077,0.031754185,0.096596569,Nassau,40.74101343,-73.62818433
"Salt Lake, UT",49035,80666565,42,15.12498094,0.005668416,0.080213904,0.032552687,0.084819168,Salt Lake,40.61974783,-111.9102609
"Hillsborough, FL",12057,79951440,43,18.30316894,0.006859512,0.318762321,0.0408269,0.127839962,Hillsborough,27.96415455,-82.38514242
"Riverside, CA",6065,79775504,44,19.48801598,0.007303559,0.328879345,0.043911575,0.129664507,Riverside,33.82796133,-116.8720387
"Fairfield, CT",9001,77951236,45,7.544566056,0.002827491,0.47788873,0.012817551,0.156537467,Fairfield,41.16598947,-73.46995263
"Contra Costa, CA",6013,77463188,46,24.76055474,0.009279558,1.158475426,0.057638299,0.279277247,Contra Costa,37.93738302,-122.065334
"Hartford, CT",9003,75991079,47,10.61161139,0.003976933,-0.002176279,0.020802412,0.069960586,Hartford,41.82465,-72.71216786
"Westchester, NY",36119,73404644,48,13.78958669,0.005167948,-0.123048669,0.029076071,0.048161967,Westchester,41.11266296,-73.79481111
"Palm Beach, FL",12099,72270528,49,21.47467118,0.008048101,0.744047016,0.049083707,0.204537538,Palm Beach,26.68385517,-80.16046379
"St. Louis, MO",29189,71640132,50,10.97629165,0.004113605,2.952941176,0.021751834,0.602898517,St. Louis,38.65542222,-90.35906768
"Wake, NC",37183,70297010,51,15.8670394,0.005946519,0.377986577,0.034484589,0.138520706,Wake,35.78404167,-78.63304167
"Denver, CO",8031,70054379,52,18.43931333,0.006910535,0.966074313,0.041181343,0.244578846,Denver,39.7621,-104.8759
"Montgomery, PA",42091,69918251,53,13.13464287,0.004922494,0.191634241,0.027370966,0.104913166,Montgomery,40.18510536,-75.33968929
"Hamilton, OH",39061,66977577,54,9.472543033,0.003550042,0.039817232,0.017836919,0.077533867,Hamilton,39.19961548,-84.50762262
"Bergen, NJ",34003,66148892,55,18.14369609,0.006799746,-0.352256186,0.040411722,0.006825748,Bergen,40.92987705,-74.04464262
"Oklahoma, OK",40109,64803045,56,5.369395157,0.002012298,1.785781991,0.00715463,0.392408271,Oklahoma,35.523325,-97.427055
"Davidson, TN",47037,63848008,57,13.49929312,0.005059154,0.747015856,0.02832031,0.205072951,Davidson,36.14363333,-86.78943333
"Honolulu, HI",15003,61095819,58,18.54694505,0.006950872,2.768976898,0.041461556,0.569721649,Honolulu,21.43842745,-157.9801412
"Lake, IL",17097,60106642,59,6.096530831,0.002284808,0.70994941,0.009047682,0.198388237,Lake,42.31437593,-88.00333519
